"Figure 2: Median income increased on average by 0.8% per year between FYE 2015 to FYE 2024",""
"Median and mean equivalised household disposable income of individuals, UK, 1977 to financial year ending (FYE) 2024",""
"",""
"Notes","1. Incomes are adjusted for inflation using the Consumer Price Index including owner-occupiers' housing costs (CPIH) excluding council tax.    
2. Estimates of income from FYE 2002 onwards have been adjusted for under-coverage of top earners.   
3. FYE 2024 represents the financial year ending 2024, (April to March), and similarly for all other years expressed in this format. Estimates prior to FYE 1995 are measured on a calendar year basis.   
4. Estimates up to and including FYE 2017 are sourced from the Living Costs and Food (LCF) survey. Estimates from FYE 2018 onwards are based on the Household Finances Survey, which the LCF is part of. 
5. Cost of Living support schemes introduced by UK government in FYE 2023. The Low-income and tax credits Cost of Living Payment, the Disability Cost of Living Payment, and the Pensioners Cost of Living Payment continued in FYE 2024, all other cost of living related benefits and schemes were discontinued in FYE 2024. "
"Unit","£"
"",""
"Year","Mean equivalised household disposable income","Median equivalised household disposable income"
"1977 ","18175 ","16311"
"1978 ","19823 ","18045"
"1979 ","20739 ","18742"
"1980 ","21516 ","19345"
"1981 ","20909 ","18367"
"1982 ","20426 ","18083"
"1983 ","20965 ","18272"
"1984 ","21380 ","18847"
"1985 ","22815 ","19676"
"1986 ","23755 ","20474"
"1987 ","25330 ","21514"
"1988 ","27175 ","22862"
"1989 ","27523 ","23454"
"1990 ","29040 ","24042"
"1991 ","29377 ","24755"
"1992 ","28342 ","24032"
"1993 ","28026 ","23381"
"FYE 1995","28595 ","24000"
"FYE 1996","28419 ","24069"
"FYE 1997","30020 ","25403"
"FYE 1998","31374 ","26051"
"FYE 1999","32105 ","26598"
"FYE 2000","34072 ","28300"
"FYE 2001","34898 ","28776"
"FYE 2002","37649 ","30610"
"FYE 2003","38686 ","31600"
"FYE 2004","39149 ","32192"
"FYE 2005","40786 ","33089"
"FYE 2006","42121 ","33465 "
"FYE 2007","43013 ","33439"
"FYE 2008","44518 ","33973"
"FYE 2009","41889 ","33546"
"FYE 2010","43349 ","33591"
"FYE 2011","41682 ","33544"
"FYE 2012","40740 ","32758"
"FYE 2013","39952 ","32007"
"FYE 2014","41582 ","32830"
"FYE 2015","42413 ","34255"
"FYE 2016","43796 ","34854"
"FYE 2017","43656 ","35794"
"FYE 2018","42936 ","34938"
"FYE 2019","43390 ","35224"
"FYE 2020","45108 ","36671"
"FYE 2021","44850 ","37414"
"FYE 2022","45338 ","37306"
"FYE 2023","43198 ","36384"
"FYE 2024","42684 ","36663"
